Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
Зерноградский район;МБОУ Россошинская СОШ;347722 Ростовская обл., Зерноградский р-н, х. 1-й Россошинский, ул. Садовая, дом 12;512 Кбит/с;8631304282;20.0.0.59;;172.23.163.153;10.61.28.192;;vl815;;;;;;
Зерноградский район;МБОУ Донская СОШ;347735, Ростовская обл., Зерноградский р-н, х. Донской ул. Специалистов, 20;2048 Кбит/с;8631304297;20.0.0.59;;172.23.163.125;10.61.27.224;10.30.59.98;0/1/8;;;;;;
Зерноградский район;МБОУ Клюевская СОШ;347731, Ростовская обл., Зерноградский р-н, х. Клюев, ул. Садовая, 10 а;512 Кбит/с;8631304291;20.0.0.59;;172.23.163.165;10.61.29.32;;vl813;;;;;;
Зерноградский район;МБОУ Заполосная СОШ;347729, Ростовская обл., Зерноградский р-н, х. Заполосный, ул. Степная, дом №16;512 Кбит/с;8631304290;20.0.0.59;;172.23.163.161;10.61.29.0;10.30.59.85;xdsl 3/9;;;;;;
Зимовниковский район;МБОУ Зимовниковская СОШ № 1;347460, Ростовская обл., Зимовниковский район, п. Зимовники, ул. Ленина, д. 125А;4096 Кбит/с;rs00343529;80.254.100.4;lt-0/0/0.3559;172.23.178.221;10.61.150.224/27;10.30.76.106;1/0/2;;;;;;
Зимовниковский район;МБОУ Конзаводская СОШ № 2;347465, Ростовская обл., Зимовниковский район, х. Камышев, ул. Мира, д. 18;512 Кбит/с;8631311451;20.0.0.76;Fa0/0.42;172.23.163.173;10.61.29.96;;vl42;;;;;;
Зимовниковский район;МБОУ Кутейников-ская казачья СОШ № 3;347470, Ростовская обл., Зимовниковский район, ст-ца Кутейниковская, ул. Школьная, д. 32;512 Кбит/с;8631311457;80.254.100.4;lt-0/0/0.2170;172.23.163.177;10.61.29.128;;vl34;;;;;;
Зимовниковский район;МБОУ Гашунская СОШ № 4;347471, Ростовская обл., Зимовниковский район, п. Байков, ул. Школьная, д. 12;512 Кбит/с;8631311250;20.0.0.76;;172.23.163.181;10.61.29.160;;vl38;;;;;;
Зимовниковский район;МБОУ Савоськинская СОШ № 5;347467, Ростовская обл., Зимовниковский район, х. Са-воськин, ул. Киро-ва, д. 66;512 Кбит/с;8631311452;20.0.0.76;;172.23.163.185;10.61.29.192;;vl41;;;;;;
Зимовниковский район;МБОУ Зимовниковская СОШ № 6;347460, Ростовская обл., Зимовниковский район, п. Зимовники, пер. Малый, д. 2;2048 Кбит/с;8631311462;80.254.100.4;lt-0/0/0.1906;172.23.178.225;10.61.151.0;10.30.76.42;4/0/8;;;;;;
Зимовниковский район;МБОУ Мокро-Гашунская СОШ № 7;347453, Ростовская обл., Зимовниковский район, п. Мокрый Гашун, ул. Молодёжная, д. 2;512 Кбит/с;8631311246;20.0.0.76;;172.23.163.189;10.61.29.224;;vl33;;;;;;
Зимовниковский район;МБОУ Глубочан-ская СОШ № 8;347473, Ростовская обл., Зимовниковский район, х. Глубокий, ул. Садовая, д. 27;512 Кбит/с;8631311459;20.0.0.76;;172.23.163.193;10.61.30.0;;vl31;;;;;;
Зимовниковский район;МБОУ Кировская СОШ № 9;347474, Ростовская обл., Зимовниковский район, х. Хуторской, ул. Строительная, д. 12;512 Кбит/с;8631311456;20.0.0.76;;172.23.163.197;10.61.30.32;;vl35;;;;;;
Зимовниковский район;МБОУ Первомайская СОШ № 11;347475, Ростовская обл., Зимовниковский район, х. Красностепной, ул. Школьная, д. 3а;512 Кбит/с;8631311453;20.0.0.76;;172.23.163.201;10.61.30.64;;vl43;;;;;;
Зимовниковский район;МБОУ Верхне-Серебряковская СОШ №12;347469, Ростовская обл., Зимовниковский район, сл. Верхнесеребряковка, ул. Мира, д. 12а;2048 Кбит/с;;20.0.0.76;;172.23.163.205;10.61.30.96;;vl36;;;;;;
Зимовниковский район;МБОУ Северная КСОШ № 13;347450, Ростовская обл., Зимовниковский район, х. Гашун, ул. Школьная, д. 10;2048 Кбит/с;8631311454;80.254.100.4;lt-0/0/0.2168;172.23.163.209;10.61.30.128;;vl37;;;;;;
Зимовниковский район;МБОУ Красночабан-ская СОШ № 14;347472, Ростовская обл., Зимовниковский район, х. Плотников, ул. Мира, д. 7;512 Кбит/с;8631311458;20.0.0.76;;172.23.163.213;10.61.30.160;;vl32;;;;;;
Кагальницкий район;Школа №1;347700, Ростовская область, Кагальницкий район, станица Кагальницкая, улица Калинина, 78а;4096 Кбит/с;;80.254.100.4;lt-0/0/0.217;172.23.164.2;10.61.32.0;10.30.45.43;vl914;;;;;;
Кагальницкий район;МБОУ Вишневская СОШ №2;347711 РФ Ростовская область, Кагальницкий район п. Мокрый Батай, ул. 40 лет Победы, 36;4096 Кбит/с;vpn4510_245;80.254.100.4;lt-0/0/0.2212;172.23.163.241;10.61.31.128;10.30.45.112;Ethernet1/0/2;;;;;;
Кагальницкий район;МБОУ Кировская СОШ № 4;347709 РФ Ростовская область, Кагальницкий район ст. Кировская, ул. Школьная, 36;2048 Кбит/с;vpn4513_245;80.254.100.4;lt-0/0/0.1572;172.23.164.13;10.61.32.96;10.30.45.10;0/ 0/ 2;;;;;;
Кагальницкий район;МБОУ Кировская СОШ № 5;347709 РФ Ростовская область, Кагальницкий район ст. Кировская, ул. Ленина, 62;4096 Кбит/с;vpn456_245;80.254.100.4;lt-0/0/0.1586;172.23.164.21;10.61.32.160;10.30.45.7;Gi 0/0/13;;;;;;
Кагальницкий район;МБОУ Раково-Таврическая СОШ № 6;347705 РФ Ростовская область, Кагальницкий район х. Жуково-Татарский, ул. Ленина, 20А;1024 Кбит/с;vpn455_245;20.0.0.45;Fa0/0.906;172.23.164.17; 10.61.32.128;10.30.45.21;1;;;;;;
Кагальницкий район;МБОУ Калининская СОШ № 7;347704 РФ Ростовская область, Кагальницкий район п. Двуречье, ул. Первомайская, 37;4096 Кбит/с;vpn458_245;20.0.0.45;Fa0/0.902;172.23.163.237;10.61.31.96;10.30.45.72;vl902;;;;;;
Кагальницкий район;МБОУ Васильево-Шамшевская СОШ № 8;347703 РФ Ростовская область, Кагальницкий район с. Васильево-Шамшево, ул. Жукова, 28;512 Кбит/с;vpn459_245;20.0.0.45;;172.23.163.245;10.61.31.160;;vl904;;;;;;
Кагальницкий район;МБОУ Новобатайская СОШ № 9;347716 РФ Ростовская область, Кагальницкий район с. Новобатайск, ул. Ленина, 55;8192 Кбит/с;rs00316043;20.0.0.45;Fa0/0.905;172.23.163.249;10.61.31.192;10.30.45.115;Ethernet1/0/2;;;;;;
Кагальницкий район;МБОУ Хомутовская СОШ № 12;347707 РФ Ростовская область, Кагальницкий район ст. Хомутовская, ул. Школьная, 13;1024 Кбит/с;vpn4511_245;20.0.0.45;Fa0/0.907;172.23.164.25;10.61.32.192;10.30.45.26;0;;;;;;
Кагальницкий район;МБОУ Верхнеграчинская ООШ Каменского Района  РО;Каменский район,х.Верхние Грачики,ул.Молодежная 21 347865;1024 Кбит/с;;80.254.100.4;lt-0/0/0.2200;172.23.164.101;10.61.35.32;10.30.65.59;Eth0/0/4;;;;;;
Каменский район;МБОУ Астаховская СОШ;347852, Ростовская область, Каменский район, п.Молодежный ул.Достоевского, 12;1024 Кбит/с;;80.254.100.4;lt-0/0/0.2206;172.23.164.41;10.61.33.64;10.30.65.33;xdsl 1/5;;;;;;
Каменский район;МБОУ Богдановская  СОШ;347842, Ростовская область, Каменский район, п.Чистоозерный, ул. Ленина, дом 23 ;1024 Кбит/с;8631169402;80.254.100.4;lt-0/0/0.605;172.23.164.45; 10.61.33.96;10.30.65.28;Eth0/0/3;;;;;;
Каменский район;МБОУ Васильевская СОШ;347845, Ростовская область,Каменский район, ул.Школьная, 8 ;1,89 Мбит/с;;;;172.23.164.49;10.61.33.128;;;Телефония;;;;;
Каменский район;МБОУ Верхнепиховская СОШ;347859, Ростовская область, Каменский район, х. Верхний Пиховкин, пер.Школьный, 6;512 Кбит/с;8631169403;80.254.100.4;lt-0/0/0.2202;172.23.164.53;10.61.33.160;10.30.65.59;vl164;;;;;;
Каменский район;МБОУ Вишневецкая СОШ;348838 Ростовская области Каменский район х. Вишневецкий ул. Набережная 1;1024 Кбит/с;8631169405;80.254.100.4;lt-0/0/0.615;172.23.164.57;10.61.33.160;;vl468;;;;;;
Каменский район;МБОУ Волченская СОШ;347834, Ростовская область, Каменский район, х. Волченский, ул. Молодёжная, 65;1024 Кбит/с;8631169406;80.254.100.4;lt-0/0/0.577;172.23.164.61;10.61.33.224;10.30.65.49;vl46;;;;;;
